TimeStamp,Ax,Ay,Az,Gx,Gy,Gz,Mx,My,Mz
1554882906076,-3.232271,1.7550035,9.794978,-0.56270343,0.5062045000000001,-0.16896716,-4.2,37.38,-31.38
1554882906096,-3.4166303,1.786129,9.407105,-0.6244008000000001,0.75482666,-0.19706696,-3.48,37.8,-31.859999
1554882906116,-3.615355,1.647261,9.450203,-0.64578104,1.0181096,-0.20378648,-3.6599998,37.68,-32.76
1554882906137,-2.9736892999999998,1.3120626,9.72315,-0.73557824,0.8788323,-0.25204483,-3.84,37.739998,-32.76
1554882906156,-3.469304,1.0486923000000001,9.261055,-0.7441304,0.5782866,-0.26242954,-3.12,37.8,-32.7
1554882906177,-4.252232,0.076616794,8.473338,-0.6470028,0.4774938,-0.19401263,-2.9399998,38.64,-31.92
1554882906196,-3.9936504,-0.8571504000000001,8.454185,-0.4594672000000001,0.2966777,-0.11582188,-3.3,39.18,-30.66
1554882906216,-3.110163,-0.4956149,8.358414,-0.28292713,0.10669861,-0.1103241,-3.06,39.36,-30.72
1554882906236,-2.5187771,-0.37829542,8.394327,-0.13387601,-0.09671951,-0.10360458,-2.82,39.239998,-30.599998
1554882906256,-2.9401696,-1.0822121999999998,8.722342999999999,-0.014757282,-0.41559118,-0.09810679,-3.06,39.84,-30.48
1554882906277,-3.545921,-0.80208206,8.76544,0.058546547000000004,-0.71430427,-0.051681034,-2.22,40.32,-30.119999
1554882906296,-3.8284453999999997,-0.32801566,8.887547999999999,0.1630045,-0.8114318,0.025898853,-2.52,39.719997,-30.599998
1554882906316,-3.8308396,-0.09577099,9.421472,0.27051678,-0.85846853,0.115085185,-3.8999998999999996,38.82,-30.9
1554882906337,-3.4884584000000003,0.062251142999999995,9.464568,0.36825523,-0.9586504000000001,0.20793669,-4.08,38.76,-30.66
1554882906357,-2.569057,0.038308397,9.4142885,0.3743639,-1.1150318000000001,0.2873492,-4.62,39.48,-30.119999
1554882906376,-2.6744049,1.5514901,9.627379,0.11230269,-1.8682288,-0.011974791,-5.16,39.36,-29.519999
1554882906396,-2.9258040000000003,-0.38308397,10.168485,0.31510997,-1.3605998,0.43884376,-5.16,39.239998,-30.359999
1554882906416,-2.308081,0.8667275,9.615408,0.48493050000000004,-0.36305675,0.32277936,-5.1,39.66,-30.539998999999998
1554882906436,-1.7526091000000001,2.370332,10.041589,0.28151235,0.37364674,0.31972504,-5.52,39.18,-30.119999
1554882906457,-2.013585,2.5020173,10.716774000000001,-0.19679512,0.426792,0.32949886,-6.18,38.94,-30.72
1554882906476,-0.7781393,3.15326,11.102252,-0.5150559,0.7707090999999999,0.10347874,-5.46,38.82,-31.32
1554882906497,-3.5219781,0.28970724,9.397528999999999,-0.8363709999999999,0.68702054,0.36676165,-4.68,39.54,-30.9
1554882906516,-2.1500587,1.4293821000000002,8.956982,-0.8461449000000001,1.0547615,0.09126144,-5.04,40.02,-29.82
1554882906537,-2.5068057,1.0941836,8.813326,-0.809493,1.1189023,-0.035798535,-4.56,39.36,-29.58
1554882906556,-2.762993,-0.0047885496,8.61939,-0.8174342,0.9063211999999999,-0.071839586,-3.6599998,39.66,-30.3
1554882906576,-3.4238129,-0.72785956,8.628966,-0.7331348000000001,0.62593406,-0.14392169,-3.54,40.2,-29.699999
1554882906596,-4.1397014,-0.7302538000000001,9.026416000000001,-0.5229971999999999,0.458557,-0.11154583,-3.3,39.48,-28.619999
1554882906616,-3.7278860000000003,-0.89545876,9.086273,-0.27498588,0.36875979999999997,-0.12681746,-2.9399998,40.44,-28.859999
1554882906636,-3.9050622,-1.3862851,8.473338,-0.105776206,0.22642820000000002,-0.15736072,-2.82,42.3,-29.099998
1554882906656,-3.5052182999999997,-1.2881198,8.590658,0.15017633,-0.056402408,-0.09749593,-3.12,42.12,-28.38
1554882906677,-3.5315554,-1.3743136999999999,8.518829,0.37986165,-0.4534648,0.023455392999999998,-3.1799998,42.239998,-28.199999
1554882906696,-3.5339496,-1.2067145000000001,8.739103,0.6229859999999999,-0.85846853,0.12669162,-2.9399998,41.46,-26.22
1554882906716,-3.1772027,-0.87151605,8.190814,0.83068025,-1.1144209999999999,0.13829806,-2.1599998,40.079997999999996,-23.82
1554882906737,-2.8539755,-0.35435268,8.272219999999999,0.9583511,-1.2365941,0.060718175,-1.92,40.92,-23.699999
1554882906756,-2.7917243999999997,0.44054657,9.047964,1.0432614,-1.3068435,0.039337892,-3.12,41.1,-23.82
1554882906777,-2.2601955,1.5323358999999999,9.100638,0.91375786,-1.0179042999999999,0.0008533788000000001,-4.02,40.26,-26.099998
1554882906796,-1.2689656,3.1748084999999997,11.119012,0.35176188,-0.21889256,-0.15797159,-4.02,39.3,-27.96
