TimeStamp,Ax,Ay,Az,Gx,Gy,Gz,Mx,My,Mz
1554118454038,-5.139154,-6.824671700000001,5.090072599999999,0.10333065,-0.16298546,-0.19068234,-13.56,24.12,-14.64
1554118454059,-5.117605999999999,-6.652888000000001,4.818331,-0.08841695,-0.111852765,-0.18855181,-13.68,24.06,-14.64
1554118454079,-5.2169657,-6.992266000000001,4.871003,-0.22796659,-0.060720075,-0.12250541,-13.8,24.0,-14.64
1554118454099,-5.121796,-7.553706,4.818331,-0.16192019,-0.058589544,-0.09267801,-13.86,24.0,-14.64
1554118454119,-4.9027267,-7.5094137000000005,4.794389,0.025566347000000003,-0.047936900000000005,-0.07563378,-13.98,23.94,-14.64
1554118454139,-4.924873000000001,-6.6989765,4.091092,0.022370555,-0.08522116,-0.015978966,-14.1,23.88,-14.64
1554118454159,-4.891354,-7.351995,4.3418846,-0.16405073,-0.07563378,0.027696876000000002,-14.16,23.88,-14.64
1554118454178,-5.1487308,-7.1969705,4.297592,-0.13954964,-0.10013486,-0.043675844000000005,-14.28,23.82,-14.64
1554118454199,-5.078101599999999,-7.177217999999999,3.7876269999999996,-0.15978967,-0.16298546,-0.015978966,-14.34,23.76,-14.64
1554118454218,-4.8877625,-8.298303,4.0186677,-0.20026971,-0.165116,0.027696876000000002,-14.4,23.76,-14.64
1554118454238,-4.4903255,-8.401254,4.6621094,-0.020240024,-0.06604639400000001,0.035153727999999995,-14.52,23.7,-14.58
1554118454259,-4.3969510000000005,-9.519346,6.1489085999999995,0.6221144000000001,0.11824436,0.053263225,-14.64,23.64,-14.58
1554118454278,-4.1611223,-9.240421000000001,6.8127007,1.7747306,0.33981937,0.06285059999999999,-14.7,23.58,-14.58
1554118454299,-4.647744,-5.7634419999999995,5.039196,2.457565,0.45699844,0.33449304,-14.76,23.52,-14.58
1554118454318,-5.21517,-5.819107,4.5896845,2.218946,0.61891866,0.5954828000000001,-14.76,23.4,-14.58
1554118454339,-5.5778913,-7.563283,6.425439,1.5691346000000002,0.7819041,0.71479243,-14.76,23.34,-14.82
1554118454359,-5.8969190000000005,-8.063073,7.229890299999999,1.3124058,1.0130665,0.8341021000000001,-14.7,23.04,-15.3
1554118454379,-6.3703723,-6.1489085999999995,7.2568254,0.95234644,1.160073,1.1430287000000001,-14.52,22.74,-15.96
1554118454399,-8.036138000000001,-5.2941785,7.3639660000000005,0.63915867,1.0130665,1.5563513999999998,-14.16,22.44,-16.8
1554118454419,-8.367735,-5.893926,6.049549,0.5209143,0.6860303000000001,1.8471686,-13.56,22.08,-17.82
1554118454439,-8.005612,-5.892729,4.394557,0.43036684,0.50813115,1.937716,-12.66,21.78,-18.96
1554118454459,-8.166622,-4.935647,4.1515455,0.113983296,0.3653857,1.9451729,-11.64,21.48,-20.16
1554118454479,-8.031349,-3.9288849999999997,3.9671922,-0.5091964,0.12996227,1.9515644,-10.56,21.24,-21.3
1554118454498,-7.631517999999999,-2.6024973,3.1890767,-1.3571468999999998,-0.128897,1.8514296000000001,-9.42,21.06,-22.26
1554118454519,-7.4256167,-2.2870612,3.3895910000000002,-1.7811221999999998,-0.30679616,1.6490293999999999,-8.16,21.18,-22.92
1554118454539,-7.72968,-3.5021186,4.441244,-0.99708754,-0.38029942,1.4072143999999998,-6.78,21.54,-23.16
1554118454558,-7.08564,-2.9418752,4.643554,0.24607609,-0.46658584,1.0897655000000002,-5.34,22.02,-23.1
1554118454579,-6.464943,-1.1258733,4.192846,0.79255676,-0.50813115,0.85540736,-4.08,22.56,-22.92
1554118454598,-5.6904187,-1.110311,3.8367082999999997,0.38456047,-0.4878911,0.7286409,-3.12,23.1,-22.56
1554118454619,-5.799355,-1.8740613000000002,4.056975,-0.39414784,-0.40906155,0.5901565,-2.22,23.58,-22.2
1554118454639,-5.9364233,-2.5725696,4.5920787,-0.8490158000000001,-0.38242993,0.48043427,-1.44,24.12,-21.84
1554118454659,-6.214748999999999,-3.1854854,4.987122,-0.5901565,-0.35473305,0.36325517,-0.78,24.54,-21.42
1554118454679,-6.3470287,-3.2830489999999997,4.999093,-0.041545313,-0.3174488,0.28016454,-0.18,24.84,-21.06
1554118454698,-6.43741,-3.1824925,4.678869000000001,0.29933932,-0.24394555,0.20133498,0.3,25.02,-20.88
1554118454718,-6.312312599999999,-3.2902317,4.7782279999999995,0.24714136,-0.15020229,0.15339808,0.54,25.08,-20.64
1554118454739,-6.502053299999999,-3.5045127999999997,5.1505265,0.039414786,-0.002130529,0.053263225,0.78,25.08,-20.52
1554118454758,-6.9228344,-2.9520507,5.7017913,0.007456851,0.036218993,0.049002163,0.96,25.14,-20.4
1554118454779,-6.8306575,-2.8694507999999996,5.625177,0.07669904,0.041545313,0.022370555,1.14,25.2,-20.28
1554118454799,-7.0742674,-2.5983074,5.463568,0.13102753,0.07350325,-0.03834952,1.32,25.26,-20.1
1554118454818,-6.8061169999999995,-2.4103625,5.301361,0.023435817999999997,0.08628642,-0.10333065,1.38,25.32,-20.04
1554118454839,-6.417059,-2.8137856,5.3408656,-0.13848437,0.13741912,-0.17363810000000002,1.44,25.38,-19.98
1554118454859,-6.206369400000001,-3.3237504999999996,5.680842,-0.1438107,0.21411815,-0.2545982,1.44,25.38,-19.92
1554118454880,-5.9047,-3.4967315,5.7849900000000005,-0.043675844000000005,0.29827404,-0.37390783,1.44,25.32,-19.92
1554118454900,-5.4342394,-3.5063082999999997,5.5180364,0.05539375,0.39308259999999995,-0.52837116,1.44,25.32,-19.92
1554118454919,-5.1780596,-2.4331074,5.580883999999999,0.16405073,0.535828,-0.7574029999999999,1.44,25.26,-19.92
1554118454938,-5.061941,-1.9506758000000002,5.4408236,0.20026971,0.6785734,-0.9864349,1.5,25.26,-19.92
1554118454959,-5.0254292000000005,-1.9069817,5.460575599999999,0.20772657,0.8064051999999999,-1.1590078000000001,1.5,25.2,-19.92
1554118454978,-4.7417164000000005,-1.9117701,5.4061074,0.26525086,0.94275904,-1.4008228,1.5,25.2,-19.92
1554118455000,-3.803788,-2.244564,4.733935400000001,0.3270362,1.0748518999999999,-1.75236,1.5,25.2,-19.92
1554118455018,-3.4871547,-2.368464,4.233547,0.2876214,1.1739215,-1.9931098000000003,1.38,25.2,-19.92
1554118455038,-3.4632127,-2.670732,3.1848867000000003,0.18322548,1.3187973,-2.328668,1.08,25.26,-19.98
1554118455059,-3.6918589999999996,-3.3363202000000003,2.415151,-0.22690132,1.5148059999999999,-2.735599,0.72,25.32,-20.04
1554118455078,-3.6601357000000005,-3.7541082,2.4073699,-0.5219796,1.6532904,-2.9955237,0.18,25.26,-20.1
1554118455099,-3.2710779999999997,-4.301183,2.244564,-0.5581986,1.7747306,-3.266101,-0.6,25.14,-20.22
1554118455119,-3.0705638,-4.926069999999999,1.8794483,-0.39201729999999996,1.8833876,-3.5334822999999997,-1.5,24.9,-20.34
1554118455138,-2.7629087,-5.653308999999999,1.1976993999999999,-0.36964676,1.9568908,-3.7518613,-2.52,24.6,-20.46
1554118455159,-2.6186580000000004,-6.399701,0.6757634,-0.55287224,2.0357203,-3.8967373,-3.72,24.24,-20.58
