TimeStamp,Ax,Ay,Az,Gx,Gy,Gz,Mx,My,Mz
1554220671280,-0.61770403,-2.830545,9.116522,-0.07669904,0.025566347000000003,-0.03834952,-28.2,13.68,-43.02
1554220671301,-0.6368576,-2.8927941,9.245809,-0.02876214,0.020240024,-0.03834952,-28.26,13.68,-43.08
1554220671321,-0.62249243,-2.7874494,9.015965,0.03195793,0.00958738,-0.037284255,-28.32,13.74,-43.2
1554220671341,-0.45968673,-2.6342204,9.183558999999999,0.056459017,0.010652645,-0.033023197000000004,-28.32,13.74,-43.32
1554220671360,-0.5315128,-2.5288756,9.130887,0.033023197000000004,0.020240024,-0.034088463,-28.38,13.74,-43.44
1554220671381,-0.3878607,-2.533664,8.862736,-0.020240024,0.036218993,-0.043675844000000005,-28.38,13.8,-43.5
1554220671401,-0.30166942,-2.6581624,8.992023,-0.07350325,0.049002163,-0.047936900000000005,-28.38,13.8,-43.5
1554220671421,-0.50757074,-2.7204118,8.934562,-0.11930962,0.060720075,-0.05006743,-28.38,13.8,-43.44
1554220671441,-0.521936,-2.8832173,9.039907000000001,-0.15233281,0.06604639400000001,-0.047936900000000005,-28.32,13.8,-43.38
1554220671461,-0.5650316,-2.9981391,9.106945,-0.15126756,0.05752428,-0.05539375,-28.32,13.8,-43.32
1554220671481,-0.60812724,-3.007716,9.169194000000001,-0.14168017,0.051132694000000006,-0.056459017,-28.32,13.8,-43.26
1554220671502,-0.7230489,-3.141791,9.083003,-0.113983296,0.036218993,-0.049002163,-28.26,13.8,-43.26
1554220671521,-0.7278373,-3.1322143,9.015965,-0.07456851,0.024501082,-0.047936900000000005,-28.26,13.8,-43.26
1554220671540,-0.7517793,-3.0603882999999996,9.106945,-0.024501082,0.012783173500000002,-0.047936900000000005,-28.26,13.8,-43.26
1554220671560,-0.7661445,-2.9550436,9.111733000000001,0.011717908999999999,0.004261058,-0.041545313,-28.26,13.86,-43.38
1554220671581,-0.6895300999999999,-2.8113914,9.025542,0.017044231,0.002130529,-0.03834952,-28.26,13.86,-43.5
1554220671600,-0.7565677,-2.8209682000000003,9.097368,-0.01917476,0.0053263223,-0.040480047000000005,-28.26,13.86,-43.56
1554220671621,-0.60812724,-2.7347770000000002,8.958505,-0.07776430000000001,0.020240024,-0.043675844000000005,-28.2,13.86,-43.68
1554220671641,-0.62249243,-2.7682957999999998,8.838794,-0.12357068,0.05006743,-0.05006743,-28.14,13.86,-43.68
1554220671662,-0.60333884,-2.902371,8.881889,-0.15020229,0.07456851,-0.056459017,-28.14,13.8,-43.62
1554220671680,-0.61291564,-3.0029275,8.934562,-0.17789917,0.098004326,-0.06178534,-28.08,13.8,-43.62
1554220671700,-0.7565677,-3.0364463,8.747814,-0.21731395,0.10759171,-0.06391586,-27.96,13.74,-43.56
1554220671720,-0.59855044,-3.2423477000000003,8.834005,-0.257794,0.10652645,-0.06604639400000001,-27.9,13.68,-43.5
1554220671741,-0.6464345,-3.4290953,8.81964,-0.29188246,0.10333065,-0.07137272,-27.84,13.68,-43.44
1554220671761,-0.6751649000000001,-3.4721910000000005,8.857947,-0.29827404,0.09374327,-0.07137272,-27.78,13.62,-43.38
1554220671781,-0.78050977,-3.5583823,9.063849000000001,-0.26525086,0.07456851,-0.06711166,-27.66,13.62,-43.32
1554220671801,-0.7613561,-3.6541502,9.130887,-0.17896444,0.053263225,-0.05539375,-27.66,13.56,-43.26
1554220671821,-0.81881696,-3.5775358999999995,8.992023,-0.07137272,0.024501082,-0.043675844000000005,-27.6,13.5,-43.26
1554220671841,-0.8619126,-3.3141737,8.958505,0.0063915867,0.0,-0.036218993,-27.54,13.5,-43.32
1554220671860,-0.89543146,-3.3524809999999996,8.934562,0.04580637,-0.015978966,-0.03089267,-27.54,13.44,-43.38
1554220671880,-0.93373865,-3.117849,8.834005,0.051132694000000006,-0.03195793,-0.03089267,-27.48,13.44,-43.44
1554220671901,-0.7469909,-3.103484,8.829217,0.037284255,-0.040480047000000005,-0.02876214,-27.48,13.5,-43.56
1554220671921,-0.81881696,-3.2040405,8.996812,0.013848438000000001,-0.03834952,-0.02876214,-27.48,13.5,-43.62
1554220671941,-0.7661445,-3.1609447,8.968081,0.007456851,-0.02876214,-0.02876214,-27.48,13.62,-43.74
1554220671960,-0.6655880999999999,-3.2662897,8.901043,0.0010652645,-0.01917476,-0.033023197000000004,-27.48,13.74,-43.8
1554220671980,-0.82360536,-3.2710779999999997,8.829217,-0.025566347000000003,-0.00958738,-0.033023197000000004,-27.54,13.86,-43.86
1554220672001,-0.6799533,-3.3859997,8.800487,-0.056459017,-0.002130529,-0.03834952,-27.6,14.04,-43.8
1554220672021,-0.6464345,-3.3955764999999998,8.968081,-0.058589544,0.0031957934000000003,-0.04580637,-27.66,14.1,-43.74
1554220672040,-0.7134720999999999,-3.3620577000000003,8.886678,-0.05539375,0.008522116,-0.047936900000000005,-27.72,14.22,-43.68
1554220672060,-0.79487497,-3.3812113,8.934562,-0.051132694000000006,0.008522116,-0.049002163,-27.78,14.28,-43.68
1554220672080,-0.7182605,-3.4578260000000003,8.805275,-0.051132694000000006,0.0010652645,-0.05219796,-27.78,14.34,-43.62
1554220672100,-0.78050977,-3.3476925000000004,8.920197,-0.043675844000000005,-0.0031957934000000003,-0.054328485999999995,-27.78,14.4,-43.62
1554220672121,-0.7661445,-3.4482489999999997,9.035119,-0.01917476,-0.010652645,-0.05006743,-27.84,14.46,-43.56
1554220672141,-0.78529817,-3.3381157,8.982447,0.0010652645,-0.018109497,-0.043675844000000005,-27.78,14.46,-43.56
1554220672161,-0.8379706,-3.3237504999999996,8.891466000000001,0.002130529,-0.024501082,-0.041545313,-27.78,14.58,-43.5
1554220672181,-0.8619126,-3.3572693,8.814852,-0.0010652645,-0.036218993,-0.040480047000000005,-27.72,14.58,-43.5
1554220672200,-0.8858546,-3.4290953,8.915408,0.007456851,-0.04261058,-0.040480047000000005,-27.72,14.64,-43.5
1554220672221,-0.80924016,-3.342904,8.944139,0.024501082,-0.040480047000000005,-0.037284255,-27.66,14.64,-43.44
1554220672240,-0.8475474000000001,-3.3572693,8.886678,0.026631612000000002,-0.037284255,-0.029827405,-27.66,14.7,-43.44
1554220672260,-0.7422025,-3.2950199999999996,8.838794,0.0010652645,-0.029827405,-0.03195793,-27.66,14.64,-43.44
1554220672281,-0.6799533,-3.2806550000000003,8.814852,-0.026631612000000002,-0.025566347000000003,-0.033023197000000004,-27.66,14.58,-43.5
1554220672301,-0.6799533,-3.3907879999999997,8.867524000000001,-0.03834952,-0.022370555,-0.03089267,-27.72,14.46,-43.5
1554220672320,-0.7038953,-3.2758665000000002,9.025542,-0.029827405,-0.014913702,-0.029827405,-27.72,14.34,-43.5
1554220672340,-0.61770403,-3.4434607,8.934562,-0.018109497,-0.012783173500000002,-0.03195793,-27.72,14.28,-43.44
1554220672361,-0.7422025,-3.2758665000000002,8.810063000000001,-0.036218993,-0.011717908999999999,-0.033023197000000004,-27.72,14.16,-43.44
1554220672380,-0.6751649000000001,-3.1465794999999996,8.714295,-0.10759171,-0.020240024,-0.04261058,-27.72,14.1,-43.44
1554220672400,-0.6512229,-3.342904,8.709507,-0.20026971,-0.018109497,-0.04580637,-27.72,14.04,-43.38
1554220672421,-0.6751649000000001,-3.4434607,8.872313,-0.22477080000000002,-0.002130529,-0.058589544,-27.72,13.92,-43.38
1554220672441,-0.7086836999999999,-3.6828809000000002,8.867524000000001,-0.17150758,-0.0031957934000000003,-0.06391586,-27.72,13.92,-43.32
1554220672461,-0.7469909,-3.6349967000000003,8.901043,-0.098004326,-0.0010652645,-0.07030745599999999,-27.78,13.98,-43.32
1554220672481,-0.842759,-3.6589386,8.958505,-0.06178534,-0.0031957934000000003,-0.07137272,-27.78,13.98,-43.38
1554220672501,-0.7134720999999999,-3.6062663,8.843582000000001,-0.06924219,-0.00958738,-0.07030745599999999,-27.72,13.98,-43.44
1554220672521,-0.7517793,-3.5488055,8.709507,-0.09587380000000001,-0.015978966,-0.07456851,-27.72,14.04,-43.5
1554220672540,-0.7374141,-3.639785,8.853159,-0.11717909,-0.025566347000000003,-0.07030745599999999,-27.72,14.1,-43.62
1554220672561,-0.7661445,-3.5440169999999998,8.733449,-0.10865697,-0.02130529,-0.06285059999999999,-27.72,14.16,-43.68
1554220672581,-0.81402856,-3.6780925000000004,8.637681,-0.080960095,-0.023435817999999997,-0.05006743,-27.72,14.22,-43.74
1554220672601,-0.7422025,-3.6445735,8.719084,-0.047936900000000005,-0.025566347000000003,-0.04474111,-27.72,14.28,-43.8
1554220672621,-0.770933,-3.5535938999999996,8.608951,-0.03089267,-0.027696876000000002,-0.03834952,-27.72,14.34,-43.8
1554220672641,-0.6560113000000001,-3.6206315000000004,8.786121000000001,-0.017044231,-0.026631612000000002,-0.026631612000000002,-27.78,14.46,-43.8
1554220672661,-0.6895300999999999,-3.6685154000000004,8.953716,0.007456851,-0.02876214,-0.02130529,-27.72,14.58,-43.68
