TimeStamp,Ax,Ay,Az,Gx,Gy,Gz,Mx,My,Mz
1554100359425,4.6712303,7.676044999999999,0.12210801,0.7958316,0.36556315,-0.31087664,7.14,-24.779999,-23.76
1554100359444,3.8619652,8.262642,-1.3024855,0.54110074,0.4510843,-0.49780142,7.5,-25.199999,-23.4
1554100359464,4.400677,8.612206,0.6847626,0.36883676,0.34601545,-0.6737306,7.56,-24.48,-24.779999
1554100359484,4.8891089999999995,8.640938,0.9601042,0.53010523,0.29592448,-1.1104993,7.9199996,-24.359999,-24.24
1554100359505,3.4908525999999998,8.475733,-0.014365649,0.49772933,0.32891122,-1.5466571000000002,8.639999000000001,-24.96,-23.279999
1554100359524,2.8827069,9.205987,-0.339987,0.27659613,0.29775712,-1.80994,8.88,-24.42,-22.92
1554100359544,2.1572416000000003,9.397528999999999,0.42378664,0.29675466,0.47429714,-1.9938103999999999,9.36,-23.58,-22.26
1554100359565,1.2689656,8.186026,-0.14365649,0.27476352,0.5653161,-1.9571584,10.92,-23.4,-22.56
1554100359584,0.48124924,7.0607166,0.55307746,0.23017037,0.46513417,-1.9003481,12.96,-22.98,-23.16
1554100359604,-0.8356019,8.291373,0.3232271,0.13487539,0.25133136,-1.7128124,14.82,-22.56,-22.74
1554100359624,0.3519584,10.053560000000001,0.52913475,0.16847298,0.24216837,-1.5234442,15.42,-22.38,-21.3
1554100359645,-0.038308397,9.794978,0.45970076,0.17335989999999998,-0.07425983,-1.5148921,16.199999,-21.06,-20.76
1554100359664,-0.12929083,8.391933,-0.9313729,0.11532769,0.005763513499999999,-1.5326072,16.859999,-20.4,-21.359999
1554100359684,3.7159145,13.814964999999999,-0.42618093,-0.012343143,0.914731,-2.0536752000000003,16.68,-20.64,-21.18
1554100359704,3.3112822,17.226807,0.9696813,0.22894862,1.0466778,-3.0237293,17.039998999999998,-19.38,-20.699999
1554100359725,-1.9752767,11.600261999999999,1.2330515,0.33035228,0.49934262,-2.6498797,18.0,-18.96,-19.8
1554100359745,-4.309695,11.425479,-1.6664151999999999,0.32668707,0.73880184,-1.5436027,19.68,-18.539998999999998,-19.439999
1554100359764,-3.5052182999999997,9.953,-0.07422252,0.21489872,1.0869950000000002,-1.2186223999999999,20.82,-16.619999,-19.439999
1554100359784,-4.9944572,11.5308275,1.3814965,0.16480778,0.9251156999999999,-1.0469693000000002,21.6,-15.839998999999999,-19.56
1554100359804,-4.5874305,11.877997,1.5059988000000002,0.026141367999999998,0.16397761,-0.66456765,23.34,-15.599998999999999,-19.56
1554100359824,-4.520391,11.880392,0.79250497,-0.047773328,0.22872932,-0.2607857,23.22,-15.0,-18.48
1554100359844,-2.935381,11.44224,1.6017698,0.012091467,-0.42733994,0.20530447,23.22,-14.639999,-16.92
1554100359865,-2.6001825000000003,11.063944000000001,0.7446195,-0.016008334,-0.6667991,0.5040176,23.58,-14.58,-17.34
1554100359884,-1.6041641000000002,10.008069,1.0750294,0.06706934,-0.8024111999999999,0.7355355,23.279999,-15.0,-18.06
1554100359904,0.42857520000000005,6.4573593,-0.63208854,0.18130113,-0.85311306,0.5767106,23.16,-14.7,-18.42
1554100359924,-1.0965778999999998,7.7167478,-0.11971374,0.044467322999999996,-0.5489021,0.10267912,22.02,-14.519999499999999,-19.439999
1554100359945,-1.0462981,9.624985,-0.5650489000000001,0.08539529,-0.46887878,0.081298836,22.08,-15.78,-18.24
1554100359965,-1.2522057,10.151725,0.08140534,0.04507819,-0.36380997,0.07763364,21.72,-16.08,-18.359999
1554100359984,-0.90503585,10.345661,0.090982445,0.06829107,-0.32899064,0.087407485,21.18,-15.78,-20.16
1554100360004,-1.2067145000000001,9.981731,0.11492519,0.10249952,-0.35037090000000004,0.09657046,21.359999,-15.42,-19.5
1554100360024,-1.446142,9.778217999999999,-0.028731298,0.10860818,-0.30944297,0.0819097,21.06,-15.54,-19.199999
1554100360045,-1.5059988000000002,9.737515,-0.12689656,0.09028222,-0.25507593,0.046479516,20.939999,-15.839998999999999,-19.859999
1554100360064,-1.5802213999999999,9.610619999999999,-0.22027329,0.10555385,-0.291117,-0.0146070095,20.58,-15.96,-20.64
1554100360084,-1.6400781999999998,9.634561999999999,-0.41181526,0.11105163400000001,-0.27645624,-0.087910846,20.1,-16.08,-21.06
1554100360104,-1.6807808999999998,9.6585045,-0.505192,0.14526008,-0.22575441,-0.15632774,19.619999,-15.719999,-21.119999
1554100360124,-1.664021,9.72315,-0.47885495,0.19290757,-0.17322001,-0.19603398,19.98,-15.78,-21.84
