TimeStamp,Ax,Ay,Az,Gx,Gy,Gz,Mx,My,Mz,Activity
1.55421E+12,-9.44752,-0.3597288,1.5125369,-0.05006743,-0.015978966,0.029827405,8.76,45,-31.08,4
1.55421E+12,-9.500193,-0.43634325,1.5891514,-0.07456851,-0.02130529,0.034088463,8.58,44.94,-31.2,4
1.55421E+12,-9.581595,-0.39803603,1.6897079,-0.10759171,-0.03089267,0.041545313,8.58,44.94,-31.26,4
1.55421E+12,-9.634268,-0.374094,1.8477252,-0.13209279,-0.034088463,0.053263225,8.58,44.88,-31.32,4
1.55421E+12,-9.500193,-0.25917232,1.7184383,-0.14061491,-0.033023197,0.049002163,8.58,44.88,-31.38,4
1.55421E+12,-9.600749,-0.2112883,1.8908207,-0.13635385,-0.035153728,0.040480047,8.64,44.82,-31.44,4
1.55421E+12,-9.562442,-0.24001873,1.7471687,-0.13209279,-0.036218993,0.033023197,8.76,44.82,-31.38,4
1.55421E+12,-9.619903,-0.22565351,1.9243397,-0.13741912,-0.029827405,0.026631612,8.82,44.76,-31.32,4
1.55421E+12,-9.605537,-0.3645172,1.7328035,-0.14168017,-0.036218993,0.02876214,8.88,44.76,-31.26,4
1.55421E+12,-9.461885,-0.3357868,1.9913772,-0.1470065,-0.034088463,0.03089267,8.94,44.76,-31.2,4
1.55421E+12,-9.562442,-0.31184477,1.8285716,-0.15339808,-0.02876214,0.037284255,9,44.82,-31.08,4
1.55421E+12,-9.581595,-0.25917232,1.8764555,-0.17044231,-0.018109497,0.046871636,9.06,44.88,-31.08,4
1.55421E+12,-9.610326,-0.2208651,1.7328035,-0.1949434,-0.008522116,0.056459017,9.12,44.94,-31.02,4
1.55421E+12,-9.504981,-0.18255788,1.7615339,-0.22050974,0.007456851,0.05752428,9.18,45,-30.96,4
1.55421E+12,-9.5385,-0.12509704,1.809418,-0.24394555,0.020240024,0.056459017,9.18,45.06,-30.9,4
1.55421E+12,-9.591172,-0.27832595,1.6418238,-0.26312032,0.033023197,0.05539375,9.18,45.18,-30.84,4
1.55421E+12,-9.404425,-0.27353755,1.5891514,-0.27377295,0.036218993,0.05219796,9.24,45.24,-30.72,4
1.55421E+12,-9.414001,-0.3309984,1.5795746,-0.28122982,0.043675844,0.049002163,9.24,45.3,-30.6,4
1.55421E+12,-9.500193,-0.350152,1.6561891,-0.28975195,0.043675844,0.049002163,9.24,45.3,-30.54,4
1.55421E+12,-9.457097,-0.32621,1.6514006,-0.28655612,0.035153728,0.05006743,9.3,45.36,-30.42,4
1.55421E+12,-9.495404,-0.27832595,1.608305,-0.2609898,0.025566347,0.043675844,9.36,45.36,-30.3,4
1.55421E+12,-9.466674,-0.3405752,1.7136499,-0.23648871,0.010652645,0.037284255,9.42,45.42,-30.24,4
1.55421E+12,-9.504981,-0.42676646,1.7711107,-0.221575,-0.00958738,0.026631612,9.42,45.42,-30.12,4
1.55421E+12,-9.562442,-0.41240123,1.7328035,-0.21411815,-0.029827405,0.017044231,9.48,45.48,-29.94,4
1.55421E+12,-9.562442,-0.42197806,1.8189948,-0.2034655,-0.0479369,-0.001065265,9.54,45.48,-29.76,4
1.55421E+12,-9.495404,-0.44592008,1.9482816,-0.19600865,-0.058589544,-0.011717909,9.6,45.54,-29.58,4
1.55421E+12,-9.466674,-0.5129577,1.9482816,-0.16937704,-0.060720075,-0.023435818,9.6,45.54,-29.4,4
1.55421E+12,-9.591172,-0.52253455,2.0679917,-0.13848437,-0.05965481,-0.02876214,9.6,45.54,-29.16,4
1.55421E+12,-9.543288,-0.43634325,1.9195513,-0.099069595,-0.05219796,-0.02876214,9.6,45.6,-28.98,4
1.55421E+12,-9.528923,-0.43155485,1.9195513,-0.06711166,-0.043675844,-0.02130529,9.6,45.6,-28.68,4
1.55421E+12,-9.548077,-0.374094,1.8237832,-0.04580637,-0.035153728,-0.014913702,9.6,45.66,-28.5,4
1.55421E+12,-9.5385,-0.25438392,1.8477252,-0.029827405,-0.023435818,-0.010652645,9.6,45.78,-28.32,4
1.55421E+12,-9.3661175,-0.1921347,1.7902644,-0.02876214,-0.011717909,-0.014913702,9.6,45.84,-28.2,4
1.55421E+12,-9.385271,-0.14903906,1.8668787,-0.022370555,0.003195793,-0.027696876,9.66,45.9,-28.14,4
1.55421E+12,-9.337387,-0.26396075,1.7136499,-0.005326322,0.005326322,-0.041545313,9.66,45.96,-28.08,4
1.55421E+12,-9.3421755,-0.24959552,1.9482816,0.01917476,0.011717909,-0.05752428,9.66,46.02,-28.02,4
1.55421E+12,-9.279925,-0.30705637,1.9147629,0.035153728,0.012783174,-0.07137272,9.66,46.08,-27.96,4
1.55421E+12,-9.394848,-0.25438392,1.8668787,0.046871636,0.014913702,-0.082025364,9.66,46.2,-27.96,4
1.55421E+12,-9.452309,-0.3549404,1.8046296,0.05006743,0.018109497,-0.08948222,9.72,46.32,-27.96,4
1.55421E+12,-9.500193,-0.41240123,1.809418,0.05965481,0.017044231,-0.094808534,9.78,46.38,-27.96,4
1.55421E+12,-9.581595,-0.41240123,1.785476,0.0777643,0.010652645,-0.099069595,9.78,46.44,-27.96,4
1.55421E+12,-9.595961,-0.42197806,1.6418238,0.10013486,0.004261058,-0.10652645,9.78,46.44,-27.9,4
1.55421E+12,-9.643845,-0.53689975,1.929128,0.11611383,0.002130529,-0.10865697,9.78,46.44,-27.9,4
1.55421E+12,-9.595961,-0.5033809,1.7423803,0.12463594,0,-0.11611383,9.84,46.38,-27.9,4
1.55421E+12,-9.528923,-0.45549688,1.7232267,0.12783173,-0.008522116,-0.11717909,9.84,46.32,-27.9,4
1.55421E+12,-9.543288,-0.43634325,1.8189948,0.1257012,-0.010652645,-0.10759171,9.84,46.14,-27.9,4
1.55421E+12,-9.615114,-0.39803603,1.6035166,0.12783173,-0.010652645,-0.10333065,9.84,46.02,-27.9,4
1.55421E+12,-9.562442,-0.32621,1.7902644,0.12463594,-0.013848438,-0.08841695,9.84,45.96,-27.9,4
1.55421E+12,-9.615114,-0.24959552,1.6753427,0.12037488,-0.011717909,-0.07350325,9.84,45.9,-27.84,4
1.55421E+12,-9.615114,-0.20171149,1.5891514,0.11824436,-0.011717909,-0.07243799,9.72,45.96,-27.84,4
1.55421E+12,-9.495404,-0.14425065,1.7711107,0.10333065,-0.003195793,-0.07350325,9.66,46.08,-27.84,4
1.55421E+12,-9.581595,-0.12988544,1.6609775,0.083090626,0.00958738,-0.07456851,9.6,46.14,-27.9,4
1.55421E+12,-9.615114,-0.20649989,1.8764555,0.06924219,0.018109497,-0.07243799,9.54,46.2,-27.9,4
1.55421E+12,-9.572019,-0.24959552,1.6801311,0.05539375,0.02876214,-0.068176925,9.48,46.26,-27.96,4
1.55421E+12,-9.643845,-0.26396075,1.6418238,0.04580637,0.03834952,-0.05965481,9.48,46.32,-28.02,4
1.55421E+12,-9.682152,-0.26396075,1.6514006,0.036218993,0.043675844,-0.043675844,9.48,46.38,-28.02,4
1.55421E+12,-9.667787,-0.2112883,1.5556326,0.033023197,0.04474111,-0.03195793,9.54,46.32,-28.14,4
1.55421E+12,-9.773131,-0.18255788,1.5556326,0.02130529,0.041545313,-0.015978966,9.6,46.32,-28.2,4
